Pavadinimas,Kategorija,Kaina (EUR),Prekės ženklas
535i XP®,Grandininiai pjūklai,569,Husqvarna
540i XP®,Grandininiai pjūklai,849,Husqvarna
540i XP® G,Grandininiai pjūklai,899,Husqvarna
540 XP® Mark III,Grandininiai pjūklai,899,Husqvarna
542i XP®,Grandininiai pjūklai,829,Husqvarna
542i XP® G,Grandininiai pjūklai,949,Husqvarna
543 XP®,Grandininiai pjūklai,749,Husqvarna
545 Mark II,Grandininiai pjūklai,899,Husqvarna
545G Mark II,Grandininiai pjūklai,949,Husqvarna
550i XP®,Grandininiai pjūklai,999,Husqvarna
550i XP® G,Grandininiai pjūklai,999,Husqvarna
550 XP® Mark II,Grandininiai pjūklai,969,Husqvarna
550 XP® G Mark II,Grandininiai pjūklai,1029,Husqvarna
555,Grandininiai pjūklai,1029,Husqvarna
560 XP® Mark II,Grandininiai pjūklai,1149,Husqvarna
560 XP® G Mark II,Grandininiai pjūklai,1179,Husqvarna
562 XP® G Mark II,Grandininiai pjūklai,1199,Husqvarna
564 XP® G,Grandininiai pjūklai,1599,Husqvarna
572 XP® G,Grandininiai pjūklai,1549,Husqvarna
592 XP® G,Grandininiai pjūklai,1929,Husqvarna
T435,Grandininiai pjūklai,529,Husqvarna
T525,Grandininiai pjūklai,649,Husqvarna
T535i XP®,Grandininiai pjūklai,549,Husqvarna
T540i XP®,Grandininiai pjūklai,799,Husqvarna
T540i XP® G,Grandininiai pjūklai,899,Husqvarna
T540 XP® Mark III,Grandininiai pjūklai,939,Husqvarna
T542i XP®,Grandininiai pjūklai,899,Husqvarna
T542i XP® G,Grandininiai pjūklai,949,Husqvarna
420EL,Grandininiai pjūklai,319,Husqvarna
435i,Grandininiai pjūklai,479,Husqvarna
435 II,Grandininiai pjūklai,499,Husqvarna
435 e-serija,Grandininiai pjūklai,549,Husqvarna
440 II e-series,Grandininiai pjūklai,599,Husqvarna
445S,Grandininiai pjūklai,649,Husqvarna
450S,Grandininiai pjūklai,699,Husqvarna
450 II,Grandininiai pjūklai,659,Husqvarna
450X,Grandininiai pjūklai,,Husqvarna
450 e-serija,Grandininiai pjūklai,719,Husqvarna
215i su akumuliatoriumi ir įkrovikliu,Grandininiai pjūklai,329,Husqvarna
215i,Grandininiai pjūklai,219,Husqvarna
230i,Grandininiai pjūklai,249,Husqvarna
230i su akumuliatoriumi ir įkrovikliu,Grandininiai pjūklai,399,Husqvarna
242i su akumuliatoriumi ir įkrovikliu,Grandininiai pjūklai,529,Husqvarna
242i,Grandininiai pjūklai,379,Husqvarna
120 Mark II,Grandininiai pjūklai,200,Husqvarna
130,Grandininiai pjūklai,279,Husqvarna
135 Mark II,Grandininiai pjūklai,349,Husqvarna
Aspire™ C15X-P4A,Grandininiai pjūklai,219,Husqvarna
Aspire™ C15X-P4A su akumuliatoriumi ir įkrovikliu,Grandininiai pjūklai,319,Husqvarna
